DESCRIPTION;FILEPATH;CATEGORY;EMOTIONS;SHORT DESCRIPTION;ALTERNATIVE VIDEO;DURATION;
she timidly says hi and calmly waves her hand.;state_hello_01.mp4;Foundational_States;Calm;Soft, timid hello;;; 
engaged and listening expression, head with very gentle movements and focused eyes, no lip motion.;state_listening_01.mp4;Foundational_States;Calm, Focus;Crucial. Calm listening attentive state.;;; 
she says a warm goodbye and waves her hand.;state_goodbye_01.mp4;Foundational_States;Calm;Crucial. Friendly warm goodbye.;;; 
she start scrolling on a tablet;state_tablet_01.mp4;Foundational_States;Calm, Focus;Crucial. She start scrolling on a tablet;;;
She starts taking notes in a notebook;state_writing_01.mp4;Foundational_States;Calm, Focus;She starts taking notes;;;
She starts taking notes in a notebook;state_writing_02.mp4;Foundational_States;Calm, Focus;She starts taking notes;ALTERNATIVE VIDEO;;
She starts thinking;state_thinking_01.mp4;Foundational_States;Thinking;She starts thinking by placing her fingers under her chin;;;
She starts thinking;state_thinking_02.mp4;Foundational_States;Thinking;She starts thinking by placing her fingers under her chin;ALTERNATIVE VIDEO;;
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_01.mp4;Foundational_States;Calm;Crucial. Neutral calm idle base state.;;; 
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_02.mp4;Foundational_States;Calm;Crucial. Calm listening attentive state.;ALTERNATIVE VIDEO;;
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_03.mp4;Foundational_States;Calm;Crucial. Calm listening attentive state.;ALTERNATIVE VIDEO;;
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_04.mp4;Foundational_States;Calm;Crucial. Calm listening attentive state.;ALTERNATIVE VIDEO;;
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_05.mp4;Foundational_States;Calm;Crucial. Calm listening attentive state.;ALTERNATIVE VIDEO;;
