DESCRIPTION;FILEPATH;CATEGORY;EMOTIONS;SHORT DESCRIPTION;ALTERNATIVE VIDEO;DURATION;
she happily says hello and waves her hand.;;Foundational States;Happiness, Joy;Crucial. Friendly happy hello greeting.; ;; 
she timidly says hi and calmly waves her hand.;;Foundational States;Shyness, Calm;Soft, timid hello variation.;**ALTERNATIVE VIDEO**;; 
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;;Foundational States;Calm;Crucial. Neutral calm idle base state.; ;; 
engaged and listening expression, head with very gentle movements and focused eyes, no lip motion.;;Foundational States;Calm, Focus;Crucial. Calm listening attentive state.; ;; 
she slowly nods while listening, with a neutral, mildly positive expression.;;Foundational States;Calm, Agreement;Listening nod with mild approval.;**ALTERNATIVE VIDEO**;; 
she says a warm goodbye and waves her hand.;;Foundational States;Calm;Crucial. Friendly warm goodbye.; ;; 
she start reading a book;;Foundational States;Calm;Crucial. She start reading a book; ;; 
;;;;;;;
she smiles warmly and gives a small relaxed wave, eyes bright and welcoming.;;Happy;Happiness, Joy;Warm happy smile with relaxed wave.; ;; 
she bursts into a big open smile, shoulders lifting slightly with visible delight.;;Happy;Happiness, Joy, Excitement;Big open delighted happy smile.; ;; 
she leans forward with a playful grin, eyebrows slightly raised as if sharing a fun secret.;;Happy;Happiness, Joy;Playful happy grin leaning forward.; ;; 
she giggles silently, covering her mouth lightly with one hand while her shoulders shake a bit.;;Happy;Happiness, Joy;Silent amused happy giggle.; ;; 
she closes her eyes briefly, then opens them with a soft radiant smile full of gratitude.;;Happy;Happiness, Joy, Calm;Grateful soft happy smile.; ;; 
she claps her hands together once softly, smiling as if pleasantly surprised by good news.;;Happy;Happiness, Surprise;Small happy clap for good news.; ;; 
she presses her hands to her cheeks, smiling wide as if overwhelmed by happiness.;;Happy;Happiness, Joy, Excitement;Overjoyed, very strong happy reaction.; ;; 
she gives a quick thumbs-up with a bright smile, clearly pleased.;;Happy;Happiness, Confidence;Quick happy thumbs-up of approval.; ;; 
she tilts her head slightly and smiles, radiating quiet contentment and ease.;;Happy;Happiness, Calm;Soft content happy look.; ;; 
